Species,Axial_parenchyma_multistate,Septate_fibers
Aglaia_elaeagnoidea,not-scanty,present
Aglaia_odorata,not-scanty,present
Ailanthus_integrifolia,not-scanty,absent
Atalaya,not-scanty,present
Cabralea_canjerana,not-scanty,present
Casimiroa_edulis,not-scanty,absent
Castela_coccinea,not-scanty,absent
Citrus,not-scanty,absent
Citrus_medica,not-scanty,absent
Dilodendron_bipinnatum,not-scanty,present
Diplokeleba_floribunda,not-scanty,present
Dysoxylum_arborescens,not-scanty,present
Eurycoma_apiculata,not-scanty,absent
Eurycorymbus_cavaleriei,not-scanty,present
Ganophyllum_falcatum,not-scanty,present
Guarea_glabra,not-scanty,present
Harpullia_arborea,not-scanty,absent
Holacantha_emoryi,not-scanty,absent
Hypelate_trifoliata,not-scanty,absent
Lansium_domesticum,not-scanty,present
Lovoa_trichilioides,not-scanty,present
Mangifera_indica,not-scanty,absent
Melicope,not-scanty,absent
Metopium_brownei,not-scanty,absent
Nephelium_lappaceum,not-scanty,present
Odyendea_gabunensis,not-scanty,absent
Owenia,not-scanty,absent
Perriera_madagascariensis,not-scanty,absent
Phellodendron_amurense,not-scanty,absent
Pierreodendron_africanum,not-scanty,absent
Protorhus_thouvenotii,not-scanty,present
Quassia_amara,not-scanty,absent
Reinwardtiodendron,not-scanty,absent
Rhus_thouarsii,not-scanty,present
Samadera_indica,not-scanty,absent
Sandoricum_cf_koetjape,not-scanty,absent
Sapindus_saponaria,not-scanty,present
Semecarpus_forstenii,not-scanty,absent
Simaba,not-scanty,absent
Simaba_orinocensis,not-scanty,absent
Simarouba,not-scanty,absent
Skimmia_japonica,not-scanty,absent
Soulamea_sp,not-scanty,absent
Talisia_nervosa,not-scanty,absent
Toona_sinensis,not-scanty,absent
Tristira_triptera,not-scanty,present
Tristiropsis_acutangula,not-scanty,present
Walsura_tubulata,not-scanty,absent
Xylocarpus_mekongensis,not-scanty,present
Acer,scanty,absent
Aesculus_pavia,scanty,absent
Amphipterygium_adstringens,scanty,present
Atalantia,scanty,absent
Aucoumea_klaineana,scanty,present
Beiselia_mexicana,scanty,present
Blepharocarya_involucrigera,scanty,present
Boswellia_neglecta,scanty,present
Buchanania_arborescens,scanty,present
Bursera_biflora,scanty,present
Bursera_cuneata,scanty,present
Bursera_hindsiana,scanty,absent
Bursera_lancifolia,scanty,present
Bursera_microphylla,scanty,absent
Bursera_simaruba,scanty,present
Bursera_tecomaca,scanty,absent
Canarium_decumanum,scanty,present
Canarium_indicum,scanty,present
Canarium_muelleri,scanty,present
Canarium_oleiferum,scanty,present
Canarium_ovatum,scanty,present
Canarium_pilosum,scanty,present
Canarium_tramdenum,scanty,present
Capuronianthus_madagascariensis,scanty,NA
Carapa_guianensis,scanty,present
Cedrela_odorata,scanty,present
Chloroxylon_swietenia,scanty,absent
Choerospondias_axillaris,scanty,present
Choisya,scanty,absent
Chukrasia_tabularis,scanty,absent
Clausena,scanty,absent
Cneorum_tricoccon,scanty,absent
Commiphora_edulis,scanty,present
Commiphora_falcata,scanty,present
Commiphora_schimperi,scanty,present
Crepidospermum_goudotianum,scanty,present
Cupaniopsis_anacardioides,scanty,present
Dacryodes_cuspidata,scanty,present
Dacryodes_edulis,scanty,present
Dacryodes_rostrata,scanty,present
Dacryodes_rugosa,scanty,present
Diploglottis,scanty,present
Dodonaea_viscosa,scanty,absent
Flindersia_australis,scanty,absent
Garuga_floribunda,scanty,present
Harpephyllum_caffrum,scanty,present
Khaya,scanty,present
Kirkia_acuminata,scanty,present
Lannea_rivae,scanty,present
Leitneria_floridana,scanty,absent
Lepidotrichilia,scanty,absent
Loxostylis_alata,scanty,present
Micronychia_macrophylla,scanty,present
Murraya_paniculata,scanty,absent
Nymania_capensis,scanty,absent
Operculicarya_decaryi,scanty,present
Pachycormus_discolor,scanty,present
Pistacia_chinensis,scanty,present
Protium_madagascariense,scanty,present
Protium_serratum,scanty,present
Protium_copal,scanty,present
Ptaeroxylon_obliquum,scanty,absent
Rhus_typhina,scanty,absent
Ruta,scanty,absent
Santiria_apiculata,scanty,present
Santiria_griffithii,scanty,present
Santiria_trimera,scanty,present
Schinus_molle,scanty,present
Schleichera_oleosa,scanty,present
Searsia_erosa,scanty,absent
Spathelia,scanty,absent
Tapirira_bethanniana,scanty,present
Tapirira_obtusa,scanty,present
Tetragastris_altissima,scanty,present
Thouinia_portoricensis,scanty,present
Toechima_tenax,scanty,present
Toxicodendron_vernicifluum,scanty,absent
Trattinnickia_demerarae,scanty,present
Triomma_malaccensis,scanty,present
Turraea_sericea,scanty,absent
Turraeanthus_sp,scanty,absent
Aegle_marmelos,not-scanty,absent
Ailanthus_altissima,not-scanty,absent
Alectryon_connatus,not-scanty,present
Apterokarpos_gardneri,not-scanty,present
Arytera_littoralis,not-scanty,present
Azadirachta_indica,not-scanty,absent
Brucea_guineensis,not-scanty,absent
Brucea_javanica,not-scanty,absent
Cardiospermum_halicacabum,not-scanty,present
Comocladia_engleriana,not-scanty,absent
Cotinus_obovatus,not-scanty,absent
Dracontomelon_lenticulatum,not-scanty,present
Ekebergia_capensis,not-scanty,absent
Faguetia_falcata,not-scanty,absent
Fegimanra_africana,not-scanty,absent
Filicium_decipiens,not-scanty,present
Guioa,not-scanty,present
Koelreuteria_paniculata,not-scanty,present
Litchi_chinensis,not-scanty,present
Loxopterygium_huasango,not-scanty,present
Melia_azedarach,not-scanty,absent
Nitraria_retusa,not-scanty,absent
Nothospondias_staudtii,not-scanty,absent
Pappea_capensis,not-scanty,present
Picrasma_javanica,not-scanty,absent
Picrasma_quassioides,not-scanty,absent
Pleiospermium,not-scanty,absent
Poncirus_trifoliata,not-scanty,absent
Sarcomelicope_simplicifolia,not-scanty,absent
Serjania,not-scanty,present
Spondias_tuberosa,not-scanty,present
Swietenia_mahagoni,not-scanty,present
Swietenia_macrophylla,not-scanty,present
Tetradium,not-scanty,absent
Trichilia_emetica,not-scanty,absent
Xanthoceras_sorbifolium,not-scanty,absent
Zanthoxylum_ailanthoides,not-scanty,absent
Zanthoxylum_nitidum,not-scanty,absent